id,name,description,image_url,ingredients,steps,cook_time,prep_time,servings,required_cookware,protein_tags,veggie_tags,herb_tags,created_at,updated_at,cuisine_type
0105782c-3e89-4899-8593-25d9edb49765,Gyoza,Japanese pan-fried dumplings with pork and vegetable filling.,/assets/images/Gyoza.png,"[""1 lb ground pork"", ""2 cups Napa cabbage, finely chopped"", ""3 green onions, finely chopped"", ""2 cloves garlic, minced"", ""1-inch piece ginger, grated"", ""1 tbsp sesame oil"", ""1 tbsp soy sauce"", ""1 tsp salt"", ""40 gyoza wrappers"", ""1/4 cup water"", ""2 tbsp vegetable oil"", ""dipping sauce (1/4 cup soy sauce, 2 tbsp rice vinegar, 1 tsp chili oil)""]","[""Mix pork, cabbage, green onions, garlic, ginger, sesame oil, soy sauce, and salt in a bowl"",""Place 1 tsp filling in center of each gyoza wrapper"",""Moisten edges with water, fold in half, and pleat to seal"",""Heat vegetable oil in a large skillet over medium-high heat"",""Place gyoza in skillet, flat side down"",""Fry until bottoms are golden brown, about 3 minutes"",""Add water, cover immediately, and steam for 3 minutes"",""Remove lid and continue cooking until water evaporates"",""Mix dipping sauce ingredients"",""Serve gyoza hot with dipping sauce""]",20,40,4,"[""mixing bowl"",""large skillet with lid""]","[""pork""]","[""cabbage"",""green onion""]","[""garlic"",""ginger""]",2025-03-17 21:03:49.911243+00,2025-03-18 21:25:00.898823+00,
019cc17d-20c8-40c6-8b13-2a5fad2f2f14,Ratatouille,Provençal vegetable stew showcasing the vibrant flavors of summer vegetables with herbs and olive oil.,/assets/images/Ratatouille.png,"[""1 large eggplant, cut into 1-inch cubes"", ""2 zucchini, cut into 1-inch cubes"", ""2 yellow squash, cut into 1-inch cubes"", ""2 red bell peppers, seeded and cut into 1-inch pieces"", ""1 large onion, chopped"", ""4 cloves garlic, minced"", ""1 can (28 oz) crushed tomatoes"", ""1/4 cup tomato paste"", ""1/4 cup fresh basil, chopped"", ""2 tbsp fresh thyme leaves"", ""1 tbsp fresh oregano, chopped"", ""1/4 cup olive oil"", ""2 bay leaves"", ""salt and freshly ground black pepper to taste""]","[""Preheat oven to 375°F (190°C)"",""Place eggplant cubes in a colander, sprinkle with salt and let sit for 30 minutes to release bitter juices. Rinse and pat dry"",""Heat 2 tbsp olive oil in a large Dutch oven over medium heat"",""Add onion and cook until translucent, about 5 minutes"",""Add garlic and cook for 1 minute until fragrant"",""Add bell peppers and cook for 5 minutes until slightly softened"",""Add tomato paste and cook for 1 minute"",""Add crushed tomatoes, thyme, oregano, and bay leaves, bring to a simmer"",""In a separate skillet, heat 1 tbsp olive oil and sauté eggplant until golden, about 5 minutes. Add to the Dutch oven"",""In the same skillet, heat 1 tbsp olive oil and sauté zucchini and yellow squash until golden, about 5 minutes. Add to the Dutch oven"",""Stir all vegetables together, cover, and transfer to the oven"",""Bake for 45 minutes, stirring occasionally"",""Remove from oven, discard bay leaves, and stir in fresh basil"",""Adjust seasoning with salt and pepper"",""Serve hot, warm, or at room temperature as a side dish or main course with crusty bread""]",75,45,6,"[""Dutch oven"",""skillet"",""colander""]",[],"[""eggplant"",""zucchini"",""squash"",""bell pepper"",""onion"",""tomato""]","[""garlic"",""basil"",""thyme"",""oregano"",""bay leaf""]",2025-03-17 22:05:22.620827+00,2025-03-18 21:30:40.282978+00,
02584320-f3e4-4614-9206-29cd9e6df88a,Caprese Salad,"Simple Italian salad of fresh mozzarella, tomatoes, and basil.",/assets/images/Caprese Salad.png,"[""4 large ripe tomatoes, sliced"", ""1 lb fresh mozzarella, sliced"", ""1 bunch fresh basil leaves"", ""1/4 cup extra virgin olive oil"", ""2 tbsp balsamic glaze"", ""salt and freshly ground black pepper to taste""]","[""Arrange alternating slices of tomato and mozzarella on a serving platter"",""Tuck basil leaves between the slices"",""Drizzle with olive oil and balsamic glaze"",""Season with salt and freshly ground black pepper"",""Serve immediately or let sit for up to 30 minutes to develop flavors""]",10,5,4,"[""serving platter""]",[],"[""tomato""]","[""basil""]",2025-03-17 20:48:50.332473+00,2025-03-18 21:20:03.905281+00,
04e6f68c-c98d-4948-8d07-93bbe0fbb00f,Buffalo Wings,Spicy chicken wings with blue cheese dipping sauce.,/assets/images/Buffalo Wings.png,"[""3 lbs chicken wings, split at joints, tips removed"", ""1/2 cup all-purpose flour"", ""1 tsp garlic powder"", ""1 tsp paprika"", ""1 tsp salt"", ""1/2 tsp black pepper"", ""vegetable oil for frying"", ""1/2 cup hot sauce"", ""1/3 cup butter, melted"", ""1 tbsp white vinegar"", ""blue cheese dressing and celery sticks for serving""]","[""Pat chicken wings dry with paper towels"",""Mix flour, garlic powder, paprika, salt, and pepper in a large bag"",""Add wings to the bag and shake to coat"",""Heat oil to 375°F (190°C) in a deep fryer or large pot"",""Fry wings in batches for 10-12 minutes until golden and crisp"",""Meanwhile, combine hot sauce, melted butter, and vinegar in a large bowl"",""Drain wings on paper towels, then toss in the sauce to coat"",""Serve hot with blue cheese dressing and celery sticks""]",25,15,6,"[""deep fryer or large pot"",""large bowl"",""paper towels""]","[""chicken""]","[""celery""]","[""garlic"",""paprika""]",2025-03-17 21:14:25.217489+00,2025-03-18 21:08:09.995996+00,
05a8d2b6-4ff4-42f9-a42d-6ea64ca651d5,Teriyaki Chicken,Grilled chicken glazed with sweet and savory teriyaki sauce.,/assets/images/Teriyaki Chicken.png,"[""2 lbs chicken thighs, boneless and skinless"", ""1/2 cup soy sauce"", ""1/4 cup mirin"", ""1/4 cup sake"", ""3 tbsp sugar"", ""2 cloves garlic, minced"", ""1-inch piece ginger, grated"", ""1 tbsp vegetable oil"", ""2 green onions, sliced (for garnish)"", ""1 tbsp sesame seeds (for garnish)""]","[""Make teriyaki sauce by combining soy sauce, mirin, sake, sugar, garlic, and ginger in a saucepan"",""Bring to a boil, then simmer until slightly thickened, about 5 minutes"",""Reserve half the sauce for later"",""Marinate chicken in remaining sauce for at least 30 minutes"",""Heat oil in a large skillet over medium-high heat"",""Cook chicken for 5-7 minutes per side until cooked through"",""Brush with reserved sauce during last few minutes of cooking"",""Slice chicken and garnish with green onions and sesame seeds"",""Serve with remaining sauce""]",25,40,4,"[""saucepan"",""large skillet"",""mixing bowl""]","[""chicken""]","[""green onion""]","[""garlic"",""ginger""]",2025-03-17 21:03:49.911243+00,2025-03-18 21:32:47.251348+00,
0a64c676-a9d8-4c93-a6ac-b8509460b794,Moules Marinières,"Simple yet elegant dish of mussels steamed in white wine with herbs, garlic, and shallots.",/assets/images/Moules Marinières.png,"[""4 lbs fresh mussels, scrubbed and debearded"", ""1/4 cup butter"", ""4 shallots, finely chopped"", ""4 cloves garlic, minced"", ""1/4 cup fresh parsley, chopped, plus more for garnish"", ""1 cup dry white wine"", ""1/4 cup heavy cream (optional)"", ""2 bay leaves"", ""2 sprigs fresh thyme"", ""freshly ground black pepper to taste"", ""crusty baguette for serving""]","[""Clean mussels thoroughly under cold running water, scrubbing off any debris and removing beards. Discard any mussels that are open and don't close when tapped"",""In a large Dutch oven or pot with a lid, melt butter over medium heat"",""Add shallots and cook until translucent, about 3 minutes"",""Add garlic and cook for 1 minute until fragrant"",""Add white wine, bay leaves, and thyme sprigs, bring to a simmer"",""Add mussels to the pot and cover with the lid"",""Steam for 5-7 minutes, shaking the pot occasionally, until most of the mussels have opened"",""Remove from heat and discard any mussels that haven't opened"",""If using cream, stir it in now"",""Remove bay leaves and thyme sprigs"",""Stir in fresh parsley and season with freshly ground black pepper"",""Transfer mussels with their broth to serving bowls"",""Garnish with additional parsley"",""Serve immediately with crusty baguette for dipping in the flavorful broth""]",15,20,4,"[""large Dutch oven or pot with lid""]","[""mussel""]","[""shallot""]","[""garlic"",""parsley"",""thyme"",""bay leaf""]",2025-03-17 22:05:22.620827+00,2025-03-18 21:28:39.891713+00,
0aa0cc3f-2faa-4e67-ac15-4fbf39598ecb,Lamb Souvlaki,"Greek-style skewered lamb marinated in lemon, olive oil, and herbs, served with tzatziki sauce.",/assets/images/Lamb Souvlaki.png,"[""2 lbs boneless leg of lamb, cut into 1-inch cubes"", ""1/4 cup extra virgin olive oil"", ""3 tbsp fresh lemon juice"", ""2 tbsp red wine vinegar"", ""4 cloves garlic, minced"", ""2 tbsp fresh oregano, chopped (or 2 tsp dried)"", ""1 tbsp fresh rosemary, chopped"", ""1 tsp ground cumin"", ""1 tsp salt"", ""1/2 tsp freshly ground black pepper"", ""1 red onion, cut into 1-inch pieces"", ""1 red bell pepper, cut into 1-inch pieces"", ""1 green bell pepper, cut into 1-inch pieces"", ""Wooden or metal skewers"", ""For the tzatziki sauce:"", ""2 cups Greek yogurt"", ""1 English cucumber, grated and squeezed dry"", ""2 cloves garlic, minced"", ""2 tbsp fresh dill, chopped"", ""1 tbsp olive oil"", ""1 tbsp fresh lemon juice"", ""1/2 tsp salt""]","[""Soak 12 wooden skewers in water for 30 minutes"",""In a large bowl, combine olive oil, lemon juice, vinegar, garlic, herbs, and all spices"",""Add lamb cubes and toss to coat thoroughly. Cover and refrigerate for at least 4 hours, preferably overnight"",""If using wooden skewers, soak in water for 30 minutes before grilling"",""Prepare tzatziki: combine all ingredients in a bowl, cover and refrigerate for at least 1 hour"",""Preheat grill to medium-high heat (about 400°F)"",""Thread marinated lamb, red onion, and bell peppers onto skewers, alternating ingredients"",""Grill skewers for 3-4 minutes per side until cooked through and charred in spots"",""Let rest for 5 minutes before serving"",""Serve with warm pita bread, tzatziki sauce, and a Greek salad""]",15,240,6,"[""grill"",""skewers"",""large bowl""]","[""lamb""]","[""red onion"",""bell pepper"",""cucumber""]","[""garlic"",""oregano"",""rosemary"",""dill"",""cumin""]",2025-03-17 21:48:34.648593+00,2025-03-18 21:26:43.218623+00,
0c53691b-f94c-4497-aff3-03ecec80a3cc,Shakshuka,North African breakfast dish of eggs poached in a spiced tomato and pepper sauce.,/assets/images/Shakshuka.png,"[""2 tbsp olive oil"", ""1 large onion, diced"", ""1 red bell pepper, seeded and diced"", ""1 green bell pepper, seeded and diced"", ""4 cloves garlic, minced"", ""2 tsp paprika"", ""1 tsp ground cumin"", ""1/2 tsp ground coriander"", ""1/4 tsp cayenne pepper (adjust to taste)"", ""1 can (28 oz) whole peeled tomatoes, crushed by hand"", ""1/2 tsp salt"", ""1/4 tsp black pepper"", ""6 large eggs"", ""1/2 cup crumbled feta cheese"", ""2 tbsp fresh cilantro, chopped"", ""2 tbsp fresh parsley, chopped""]","[""Heat olive oil in a large, deep skillet over medium heat"",""Add onion and bell peppers, cook until softened, about 7 minutes"",""Add garlic and cook for 1 minute until fragrant"",""Stir in paprika, cumin, coriander, and cayenne; cook for 1 minute"",""Add crushed tomatoes with their juice, salt, and pepper"",""Simmer for 15 minutes until sauce thickens slightly"",""Make 6 wells in the sauce with the back of a spoon"",""Crack an egg into each well"",""Cover and cook for 5-8 minutes until eggs are set but yolks are still soft"",""Sprinkle with feta cheese, cilantro, and parsley"",""Serve immediately with crusty bread""]",35,15,6,"[""large deep skillet with lid""]","[""egg""]","[""onion"",""bell pepper"",""tomato""]","[""garlic"",""cilantro"",""parsley"",""cumin"",""coriander"",""paprika""]",2025-03-17 21:48:34.648593+00,2025-03-18 21:31:25.851515+00,
0dba0dfc-e6b1-49af-ac89-038f8a52b273,Clam Chowder,"Creamy New England soup with clams, potatoes, and bacon.",/assets/images/Clam Chowder.png,"[""4 slices bacon, diced"", ""1 onion, diced"", ""2 celery stalks, diced"", ""2 tbsp all-purpose flour"", ""2 cups clam juice"", ""1 cup water"", ""3 cups potatoes, diced"", ""2 cans (6.5 oz each) chopped clams, drained with juice reserved"", ""1 cup heavy cream"", ""1 bay leaf"", ""1/2 tsp dried thyme"", ""salt and pepper to taste"", ""2 tbsp fresh parsley, chopped""]","[""Cook bacon in a large pot over medium heat until crisp"",""Add onion and celery; cook until soft, about 5 minutes"",""Stir in flour and cook for 1 minute"",""Gradually add clam juice, reserved juice from canned clams, and water, whisking to combine"",""Add potatoes, bay leaf, and thyme"",""Bring to a simmer and cook until potatoes are tender, about 15 minutes"",""Add chopped clams and heavy cream"",""Season with salt and pepper"",""Simmer for 5 minutes (do not boil)"",""Remove bay leaf and garnish with parsley before serving""]",35,15,6,"[""large pot"",""whisk""]","[""clam"",""bacon""]","[""onion"",""celery"",""potato""]","[""parsley"",""thyme"",""bay leaf""]",2025-03-17 21:14:25.217489+00,2025-03-18 21:22:18.653292+00,
111a0952-219c-4d8c-a67a-f5a84416de4c,Meatloaf,Hearty ground beef dish with tomato glaze.,/assets/images/Meatloaf.png,"[""2 lbs ground beef"", ""1 onion, finely chopped"", ""2 cloves garlic, minced"", ""2 eggs"", ""1 cup breadcrumbs"", ""1/2 cup milk"", ""1/3 cup ketchup"", ""1 tbsp Worcestershire sauce"", ""1 tsp dried oregano"", ""1 tsp dried thyme"", ""1 tsp salt"", ""1/2 tsp black pepper"", ""For glaze: 1/2 cup ketchup"", ""2 tbsp brown sugar"", ""1 tbsp mustard""]","[""Preheat oven to 350°F (175°C)"",""In a large bowl, combine ground beef, onion, garlic, eggs, breadcrumbs, milk, ketchup, Worcestershire sauce, oregano, thyme, salt, and pepper"",""Mix gently with hands until combined (don't overmix)"",""Shape into a loaf and place in a 9x5 inch loaf pan or on a baking sheet"",""For the glaze, mix ketchup, brown sugar, and mustard in a small bowl"",""Spread glaze over the top of meatloaf"",""Bake for 1 hour to 1 hour 15 minutes until internal temperature reaches 160°F (71°C)"",""Let rest for 10 minutes before slicing and serving""]",75,20,6,"[""loaf pan or baking sheet"",""large mixing bowl""]","[""beef"",""egg""]","[""onion""]","[""garlic"",""oregano"",""thyme""]",2025-03-17 21:14:25.217489+00,2025-03-18 21:28:05.015532+00
